chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
100,100,135720,0,0,-3,3,0,2,0.0,-0.5,0,Kevin,0.0,532,False,,2019-12-19T15:00:20.159210Z,42,135720.jpg,1.5,Danso,0.0,False,,a,16,20,9,3552,5,3630,4,0.0,2.1,Danso,275,0,1,1,8,0,0,0,0,1,0,0,46,58.4,26.0,6.0,8.9
,,200088,0,0,0,0,0,4,0.0,-0.5,0,Daniel,0.0,535,False,,,45,200088.jpg,0.0,N'Lundulu,0.1,False,,a,16,20,0,10137,7,8830,18,0.0,0.0,N'Lundulu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,198044,0,0,0,0,0,1,0.0,-0.5,0,Harry,0.0,548,False,,,40,198044.jpg,0.0,Lewis,0.2,False,,a,16,20,0,14298,14,7217,34,0.0,0.0,Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
75,0,214466,0,0,0,0,0,3,0.9,0.0,0,William,1.2,584,False,Illness - 75% chance of playing,2020-03-05T14:00:19.615123Z,45,214466.jpg,2.5,Smallbone,0.0,False,,d,16,20,5,568,2,300,14,0.3,1.1,Smallbone,156,0,0,1,3,0,0,0,0,0,0,0,19,23.4,10.3,14.0,4.8
75,100,115556,0,0,-2,2,0,2,0.4,1.0,0,Ben,0.5,329,False,Hamstring injury - 75% chance of playing,2020-03-08T15:00:19.273544Z,53,115556.jpg,1.1,Davies,0.1,False,,d,17,6,10,8538,23,15772,29,0.1,1.9,Davies,630,0,0,0,13,0,0,0,2,0,0,0,84,133.8,88.6,36.0,25.6
100,100,39194,0,0,-3,3,2,2,1.0,1.5,2,Jan,1.0,330,False,,2019-11-01T14:00:13.161821Z,52,39194.jpg,2.7,Vertonghen,1.6,False,,a,17,6,52,130481,132,262343,185,0.2,10.0,Vertonghen,1543,1,1,3,23,0,0,0,2,0,0,4,307,377.4,54.8,63.0,49.6
,,55605,0,0,-2,2,1,2,2.0,2.5,2,Toby,2.0,331,False,,,53,55605.jpg,2.4,Alderweireld,4.8,False,,a,17,6,66,339302,307,541378,637,0.4,12.5,Alderweireld,2417,1,2,4,36,1,0,0,4,0,0,2,460,643.6,194.1,148.0,98.6
100,100,173904,0,0,-2,2,0,2,1.8,2.3,1,Davinson,1.8,333,False,,2019-09-12T12:30:16.170028Z,53,173904.jpg,1.8,Sánchez,0.9,False,,a,17,6,39,42019,92,77487,123,0.3,7.4,Sánchez,1890,0,1,2,31,0,0,0,5,0,0,1,340,445.8,26.7,66.0,53.9
0,0,77794,0,0,0,0,0,2,0.0,0.0,0,Kieran,0.0,334,False,Joined Atletico Madrid on a permanent deal on 17/7,2019-07-18T09:00:08.860585Z,55,77794.jpg,0.0,Trippier,0.1,False,,u,17,6,0,1570,7,15303,8,0.0,0.0,Trippier,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,234908,0,0,-2,2,0,2,0.0,0.5,0,Juan,0.0,335,False,,2020-02-14T13:30:13.596707Z,48,234908.jpg,0.8,Foyth,0.0,False,,a,17,6,3,2478,5,3723,2,0.0,0.6,Foyth,66,0,0,0,3,0,0,0,1,0,0,0,9,18.6,12.5,0.0,3.1
